name,source_name,group,dtype,unit,description,notes
euclid_nisp_h,euclid_nisp_h,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated Euclid NISP H-band flux density.,
euclid_vis_abs,euclid_vis_abs,rest-frame photometry,float,erg s^-1 cm^-2 Hz^-1 at 10 pc,Rest-frame Euclid VIS flux density at 10 parsec.,Optional CosmoHub tooltip column used for pseudo-SED anchoring.
euclid_nisp_y_abs,euclid_nisp_y_abs,rest-frame photometry,float,erg s^-1 cm^-2 Hz^-1 at 10 pc,Rest-frame Euclid NISP Y-band flux density at 10 parsec.,Optional CosmoHub tooltip column used for pseudo-SED anchoring.
euclid_nisp_j_abs,euclid_nisp_j_abs,rest-frame photometry,float,erg s^-1 cm^-2 Hz^-1 at 10 pc,Rest-frame Euclid NISP J-band flux density at 10 parsec.,Optional CosmoHub tooltip column used for pseudo-SED anchoring.
euclid_nisp_h_abs,euclid_nisp_h_abs,rest-frame photometry,float,erg s^-1 cm^-2 Hz^-1 at 10 pc,Rest-frame Euclid NISP H-band flux density at 10 parsec.,Optional CosmoHub tooltip column used for pseudo-SED anchoring.
euclid_vis_el_model3_ext,euclid_vis_el_model3_ext,photometry,float,erg s^-1 cm^-2 Hz^-1,Euclid VIS flux including emission lines and internal attenuation.,Branch-2 target set B.
euclid_vis_el_model3_ext_odonnell_ext,euclid_vis_el_model3_ext_odonnell_ext,photometry,float,erg s^-1 cm^-2 Hz^-1,"Euclid VIS flux including emission lines, internal attenuation, and Milky Way extinction.",Branch-2 target set C.
euclid_vis_el_model3_ext_odonnell_ext_error,euclid_vis_el_model3_ext_odonnell_ext_error,photometry,float,erg s^-1 cm^-2 Hz^-1,Flux uncertainty for the Euclid VIS Milky-Way-extincted flux.,Used for chi-square in branch-2 target set D.
euclid_vis_el_model3_ext_odonnell_ext_error_realization,euclid_vis_el_model3_ext_odonnell_ext_error_realization,photometry,float,erg s^-1 cm^-2 Hz^-1,Noisy realization of the Euclid VIS Milky-Way-extincted flux.,Branch-2 target set D.
lsst_u,lsst_u,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated LSST u-band flux density.,
lsst_g,lsst_g,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated LSST g-band flux density.,
lsst_r,lsst_r,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated LSST r-band flux density.,
lsst_i,lsst_i,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated LSST i-band flux density.,
lsst_z,lsst_z,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated LSST z-band flux density.,
lsst_y,lsst_y,photometry,float,erg s^-1 cm^-2 Hz^-1,Simulated LSST y-band flux density.,
log_stellar_mass,log_stellar_mass,physical truth,float,log10(Msun h^-2),Base-10 logarithm of catalog stellar mass.,Convert to log10(Msun) as log_stellar_mass + 2 log10(h).
log_ml_r01,log_ml_r01,physical truth,float,log10(Msun/Lsun),Logarithm of stellar-mass-to-luminosity ratio in SDSS 0.1-r band.,
abs_mag_r01,abs_mag_r01,rest-frame photometry,float,mag + 5 log10(h),Absolute magnitude in the SDSS 0.1-r band in h=1 units.,
log_luminosity_r01,log_luminosity_r01,rest-frame photometry,float,log10(Lsun h^-2),Base-10 luminosity in the SDSS 0.1-r band.,
abs_mag_uv_unextincted,abs_mag_uv_unextincted,rest-frame photometry,float,mag + 5 log10(h),Unextincted absolute magnitude in a broad ultraviolet filter near 1800 A.,"Useful diagnostic for dust/SFR failures, not a direct DSPS fit target."
metallicity_true,metallicity,physical truth,float,12 + log10(O/H),"Gas-phase oxygen abundance, aliased by the download query.",Reports convert to log10 metallicity proxy with offset -10.61.
log_sfr_true,log_sfr,physical truth,float,log10(Msun yr^-1),Base-10 logarithm of catalog star-formation rate.,
sfr_true,"POW(10, log_sfr)",physical truth,double,Msun yr^-1,Linear star-formation rate computed by the download query.,
ebv_cosmos_1,ebv_cosmos_1,dust,float,mag,COSMOS E(B-V) component 1.,
ebv_cosmos_2,ebv_cosmos_2,dust,float,mag,COSMOS E(B-V) component 2.,
ext_curve_cosmos_1,ext_curve_cosmos_1,dust,int8,code,Extinction-curve identifier for dust component 1.,
ext_curve_cosmos_2,ext_curve_cosmos_2,dust,int8,code,Extinction-curve identifier for dust component 2.,
mw_extinction,mw_extinction,dust,float,mag,Milky Way foreground extinction scalar.,
dust_ebv_true,SQL CASE expression,dust,float,mag,Single intrinsic E(B-V) target computed by the download query.,Bulge-fraction weighted when both COSMOS dust components are present.
bulge_fraction,bulge_fraction,morphology,float,fraction,Fraction of galaxy light assigned to the bulge component.,
disk_r50,disk_r50,morphology,float,arcsec,Disk half-light radius.,
bulge_r50,bulge_r50,morphology,float,arcsec,Bulge half-light radius.,
eps1_gal,eps1_gal,morphology,float,dimensionless,Galaxy ellipticity component e1.,
eps2_gal,eps2_gal,morphology,float,dimensionless,Galaxy ellipticity component e2.,
disk_ellipticity,disk_ellipticity,morphology,float,dimensionless,Disk ellipticity.,
bulge_ellipticity,bulge_ellipticity,morphology,float,dimensionless,Bulge ellipticity.,
bulge_nsersic,bulge_nsersic,morphology,float,dimensionless,Bulge Sersic index.,
disk_nsersic,disk_nsersic,morphology,float,dimensionless,Disk Sersic index.,
lm_halo,lm_halo,halo,float,log10(Msun h^-1),Base-10 logarithm of halo mass.,
lmbound_halo,lmbound_halo,halo,float,log10(Msun h^-1),Base-10 logarithm of bound halo mass.,
r_halo,r_halo,halo,float,kpc h^-1,Halo radial distance in the lightcone.,
x_halo,x_halo,halo,float,Mpc h^-1,Halo Cartesian x coordinate.,
y_halo,y_halo,halo,float,Mpc h^-1,Halo Cartesian y coordinate.,
z_halo,z_halo,halo,float,Mpc h^-1,Halo Cartesian z coordinate.,
vx_halo,vx_halo,halo,float,km s^-1,Halo peculiar velocity x component.,
vy_halo,vy_halo,halo,float,km s^-1,Halo peculiar velocity y component.,
vz_halo,vz_halo,halo,float,km s^-1,Halo peculiar velocity z component.,
n_sats_halo,n_sats_halo,halo,int32,count,Number of satellite galaxies assigned to the halo.,
num_p_halo,num_p_halo,halo,int32,count,Number of simulation particles associated with the halo.,
conc_vir_halo,conc_vir_halo,halo,float,dimensionless,Virial concentration of the halo.,
rs_halo,rs_halo,halo,float,kpc h^-1,Halo NFW scale radius.,
rvir_halo,rvir_halo,halo,float,kpc h^-1,Halo virial radius.,
